x,y
60.44,93.66
12.67,22.005
2.2,6.3
6.16,12.24
35.28,55.92
83.01,127.515
64.33,99.495
91.72,140.58
72.62,111.93
55.31,85.965
83.52,128.28
1.45,5.175
84.96,130.44
6.85,13.275
89.95,137.925
57.41,89.115
6.13,12.195
78.33,120.495
65.15,100.725
19.1,31.65
17.43,29.145
60.92,94.38
69.37,107.055
7.71,14.565
38.81,61.215
18.31,30.465
41.05,64.575
29.84,47.76
27.65,44.475
11.74,20.61
72.14,111.21
59.92,92.88
20.59,33.885
73.54,113.31
25.04,40.56
21.44,35.16
8.3,15.45
38.27,60.405
76.73,118.095
13.41,23.115
9.77,17.655
31.79,50.685
11.63,20.445
81.1,124.65
32.88,52.32
83.66,128.49
42.84,67.26
92.23,141.345
56.62,87.93
21.57,35.355
28.42,45.63
78.49,120.735
34.76,55.14
95.65,146.475
48.99,76.485
22.97,37.455
96.82,148.23
55.42,86.13
59.22,91.83
41.66,65.49
77.91,119.865
12.14,21.21
91.24,139.86
46.22,72.33
98.54,150.81
46.98,73.47
60.09,93.135
67.83,104.745
41.09,64.635
70.1,108.15
36.99,58.485
10.72,19.08
50.06,78.09
18.39,30.585
26.53,42.795
76.65,117.975
0.02,3.03
37.56,59.34
91.48,140.22
0.31,3.465
93.2,142.8
6.94,13.41
85.38,131.07
90.74,139.11
83.8,128.7
39.34,62.01
95.49,146.235
77.55,119.325
33.05,52.575
4.28,9.42
95.89,146.835
36.18,57.27
94.88,145.32
5.18,10.77
24.04,39.06
50.93,79.395
11.82,20.73
4.55,9.825
71.87,110.805
1.64,5.46
86.64,132.96
76.78,118.17
17.94,29.91
41.81,65.715
89.21,136.815
75.89,116.835
90.73,139.095
45.39,71.085
61.07,94.605
7.53,14.295
26.32,42.48
89.44,137.16
79.85,122.775
55.91,86.865
89.47,137.205
88.09,135.135
87.63,134.445
24.43,39.645
49.28,76.92
86.49,132.735
93.79,143.685
93.25,142.875
59.55,92.325
9.24,16.86
73.82,113.73
76.07,117.105
77.44,119.16
87.01,133.515
72.52,111.78
21.77,35.655
47.74,74.61
17.34,29.01
39.75,62.625
84.78,130.17
62.57,96.855
70.2,108.3
7.08,13.62
60.33,93.495
29.9,47.85
41.82,65.73
38.27,60.405
9.6,17.4
84.69,130.035
97.64,149.46
73.96,113.94
11.68,20.52
31.64,50.46
44.12,69.18
29.91,47.865
62.85,97.275
65.55,101.325
78.66,120.99
71.06,109.59
71.17,109.755
12.49,21.735
62.47,96.705
5.52,11.28
19.39,32.085
90.73,139.095
46.94,73.41
35.3,55.95
25.31,40.965
29.29,46.935
79.68,122.52
65.64,101.46
81.97,125.955
58.68,91.02
37.35,59.025
81.31,124.965
10.82,19.23
72.19,111.285
96.81,148.215
37.82,59.73
26.02,42.03
49.68,77.52
63.61,98.415
78.45,120.675
28.06,45.09
29.49,47.235
38.73,61.095
66.67,103.005
4.14,9.21
75.01,115.515
12.38,21.57
64.06,99.09
77.44,119.16
30.67,49.005
30.38,48.57
98.17,150.255
72.62,111.93
18.8,31.2
56.99,88.485
80.45,123.675
43.87,68.805
10.95,19.425
8.13,15.195
96.47,147.705
57.99,89.985
29.81,47.715
7.69,14.535
60.75,94.125
61.26,94.89
29.91,47.865
72.81,112.215
97.22,148.83
16.1,27.15
45.22,70.83
59.9,92.85
50.86,79.29
40.09,63.135
38.69,61.035
38.22,60.33
82.85,127.275
44.59,69.885
6.39,12.585
53.02,82.53
67.1,103.65
87.17,133.755
61.46,95.19
79.66,122.49
40.28,63.42
81.76,125.64
10.26,18.39
14.58,24.87
85.3,130.95
64.06,99.09
5.55,11.325
96.97,148.455
92.22,141.33
42.45,66.675
30.79,49.185
4.25,9.375
47.15,73.725
35.87,56.805
81.62,125.43
42.46,66.69
66.69,103.035
33.21,52.815
23.42,38.13
99.3,151.95
19.15,31.725
17.74,29.61
87.9,134.85
47.01,73.515
78.63,120.945
92.38,141.57
72.75,112.125
79.92,122.88
21.94,35.91
55.51,86.265
27.08,43.62
12.83,22.245
48.22,75.33
35.64,56.46
59.9,92.85
50.05,78.075
0.23,3.345
66.03,102.045
42.67,67.005
37.78,59.67
3.06,7.59
53.8,83.7
9.78,17.67
94.94,145.41
31.69,50.535
70.5,108.75
5.52,11.28
0.93,4.395
68.12,105.18
6.86,13.29
4.6,9.9
72.98,112.47
58.59,90.885
40.21,63.315
12.51,21.765
31.12,49.68
75.68,116.52
74.02,114.03
5.61,11.415
82.39,126.585
28.07,45.105
71.22,109.83
44.22,69.33
72.03,111.045
45.88,71.82
76.37,117.555
29.19,46.785
63.46,98.19
49.44,77.16
81.71,125.565
83.34,128.01
38.88,61.32
86.01,132.015
51.32,79.98
86.82,133.23
70.02,108.03
26.43,42.645
34.48,54.72
30.41,48.615
24.77,40.155
8.14,15.21
18.88,31.32
26.9,43.35
94.43,144.645
24.45,39.675
56.07,87.105
66.96,103.44
93.78,143.67
75.18,115.77
18.22,30.33
97.7,149.55
34.25,54.375
12.16,21.24
88.48,135.72
81.58,125.37
81.96,125.94
50.13,78.195
44.2,69.3
52.84,82.26
17.3,28.95
53.6,83.4
32.01,51.015
72.56,111.84
19.15,31.725
78.26,120.39
9.84,17.76
2.48,6.72
50.84,79.26
90.65,138.975
35.58,56.37
72.54,111.81
54.39,84.585
44.15,69.225
74.88,115.32
86.66,132.99
17.79,29.685
54.84,85.26
99.1,151.65
93.02,142.53
23.52,38.28
19.56,32.34
24.03,39.045
11.73,20.595
3.82,8.73
61.92,95.88
77.02,118.53
91.29,139.935
98.09,150.135
0.49,3.735
75.44,116.16
4.32,9.48
79.99,122.985
13.43,23.145
44.44,69.66
25.03,40.545
71.95,110.925
78.51,120.765
3.43,8.145
55.28,85.92
88.77,136.155
15.43,26.145
99.09,151.635
79.77,122.655
52.73,82.095
52.4,81.6
37.24,58.86
31.9,50.85
68.13,105.195
70.63,108.945
55.84,86.76
39.95,62.925
6.84,13.26
66.47,102.705
20.53,33.795
82.22,126.33
23.74,38.61
77.83,119.745
11.29,19.935
49.15,76.725
52.54,81.81
93.36,143.04
51.35,80.025
28.56,45.84
78.27,120.405
0.25,3.375
59.93,92.895
8.58,15.87
74.24,114.36
51.22,79.83
24.91,40.365
87.07,133.605
52.25,81.375
91.43,140.145
8.1,15.15
94.97,145.455
88.81,136.215
88.45,135.675
21.6,35.4
70.62,108.93
99.65,152.475
73.32,112.98
13.18,22.77
37.26,58.89
79.15,121.725
20.05,33.075
33.64,53.46
21.84,35.76
49.12,76.68
52.57,81.855
42.43,66.645
22.54,36.81
82.51,126.765
77.64,119.46
32.25,51.375
10.77,19.155
71.34,110.01
60.85,94.275
22.68,37.02
30.62,48.93
81.9,125.85
10.22,18.33
26.58,42.87
43.66,68.49
90.69,139.035
12.64,21.96
85.9,131.85
18.03,30.045
84.49,129.735
87.51,134.265
92.5,141.75
51.99,80.985
45.16,70.74
71.4,110.1
58.36,90.54
76.06,117.09
42.17,66.255
2.57,6.855
11.44,20.16
71.09,109.635
88.92,136.38
92.79,142.185
90.72,139.08
66.11,102.165
2.33,6.495
76.26,117.39
76.52,117.78
70.31,108.465
52.77,82.155
99.59,152.385
8.16,15.24
99.29,151.935
25,40.5
13.45,23.175
17.35,29.025
4.16,9.24
86.57,132.855
88.57,135.855
67.96,104.94
72.36,111.54
10.95,19.425
78.45,120.675
71.69,110.535
82.78,127.17
80.14,123.21
60.33,93.495
9.44,17.16
68.21,105.315
30.78,49.17
38.74,61.11
19.52,32.28
49.03,76.545
76.01,117.015
71.08,109.62
49.97,77.955
75.15,115.725
5.2,10.8
97.13,148.695
87.18,133.77
42.7,67.05
62.98,97.47
96.09,147.135
90.77,139.155
71.68,110.52
15.67,26.505
95.37,146.055
40.64,63.96
22.64,36.96
30.22,48.33
18.96,31.44
56.47,87.705
36.53,57.795
13.11,22.665
32.04,51.06
72.49,111.735
54.33,84.495
13.54,23.31
14.77,25.155
24.09,39.135
32.43,51.645
3.82,8.73
81.1,124.65
45.39,71.085
57.29,88.935
76.1,117.15
7.74,14.61
48.95,76.425
40.07,63.105
81.91,125.865
64.47,99.705
70.83,109.245
7.05,13.575
36.46,57.69
32.53,51.795
32.88,52.32
6.62,12.93
28.87,46.305
37.36,59.04
72.25,111.375
81.47,125.205
4.2,9.3
98.64,150.96
46.61,72.915
45.38,71.07
95.41,146.115
66.63,102.945
98.96,151.44
77.6,119.4
39.53,62.295
73.29,112.935
87.99,134.985
34.35,54.525
33.3,52.95
29.29,46.935
89.99,137.985
3.9,8.85
2.74,7.11
74.07,114.105
59.6,92.4
83.19,127.785
33.14,52.71
71.18,109.77
59.1,91.65
14.88,25.32
46.36,72.54
97.68,149.52
47.91,74.865
94.43,144.645
25.13,40.695
30.66,48.99
47.36,74.04
20.03,33.045
38.53,60.795
53.29,82.935
77.72,119.58
23.42,38.13
96.85,148.275
8.49,15.735
71.67,110.505
84.22,129.33
35.25,55.875
74,114
32.42,51.63
88.91,136.365
88.11,135.165
60.49,93.735
63.94,98.91
95.21,145.815
2.14,6.21
2.33,6.495
24.38,39.57
87.11,133.665
37.16,58.74
81.57,125.355
49.26,76.89
54.72,85.08
65.82,101.73
10.93,19.395
71.92,110.88
12.67,22.005
67.35,104.025
86.25,132.375
97.89,149.835
40.63,63.945
73.87,113.805
