x,y
78.03,129.242
3.36,24.704
9.16,32.824
5.56,27.784
96.94,155.716
46.54,85.156
13.32,38.648
21.63,50.282
35.36,69.504
92.63,149.682
35.77,70.078
24.99,54.986
78.27,129.578
44.2,81.88
8.41,31.774
22.39,51.346
4.01,25.614
61.57,106.198
39.85,75.79
76.59,127.226
49.6,89.44
54,95.6
92.2,149.08
98.73,158.222
56.18,98.652
75.1,125.14
36.91,71.674
36.52,71.128
47.65,86.71
72.52,121.528
50.78,91.092
85.76,140.064
14.41,40.174
48.66,88.124
50.39,90.546
95.63,153.882
69.74,117.636
25.53,55.742
67.15,114.01
55.44,97.616
20.44,48.616
98.96,158.544
47.04,85.856
58.45,101.83
57.79,100.906
83.84,137.376
61.97,106.758
37.66,72.724
65.32,111.448
32.31,65.234
64.08,109.712
53.53,94.942
46.02,84.428
8.19,31.466
75.24,125.336
11.54,36.156
37.35,72.29
17.9,45.06
68.74,116.236
35.61,69.854
12.89,38.046
51.57,92.198
69.44,117.216
55,97
9.46,33.244
7.32,30.248
18.69,46.166
91.8,148.52
23.13,52.382
79.77,131.678
25.92,56.288
88.84,144.376
59.62,103.468
20.02,48.028
66.18,112.652
22.33,51.262
34.98,68.972
27.88,59.032
74.11,123.754
63.45,108.83
34.17,67.838
59.99,103.986
26.78,57.492
30.99,63.386
3.26,24.564
51.85,92.59
38,73.2
69.57,117.398
55.77,98.078
38.64,74.096
31.94,64.716
33.57,66.998
49.34,89.076
60.37,104.518
48.79,88.306
53.62,95.068
44.49,82.286
40.72,77.008
62.3,107.22
86.71,141.394
28.92,60.488
3.64,25.096
2.98,24.172
7.72,30.808
36.01,70.414
12.8,37.92
18.18,45.452
8.74,32.236
93.05,150.27
78.51,129.914
9.32,33.048
28.43,59.802
5.63,27.882
5.75,28.05
33.39,66.746
98.06,157.284
61.33,105.862
90.28,146.392
97.93,157.102
24.74,54.636
28.42,59.788
67.13,113.982
29.53,61.342
28.34,59.676
5.75,28.05
36.57,71.198
18.7,46.18
85.61,139.854
90.19,146.266
29.44,61.216
95.34,153.476
25.79,56.106
18.18,45.452
47.36,86.304
9.34,33.076
95.16,153.224
79.94,131.916
1.82,22.548
75.83,126.162
15.1,41.14
34.45,68.23
0.41,20.574
12.9,38.06
75.66,125.924
40.13,76.182
57.37,100.318
79.64,131.496
25.54,55.756
33.13,66.382
31.55,64.17
0.93,21.302
36.4,70.96
55.6,97.84
1.26,21.764
73.54,122.956
49.81,89.734
97.31,156.234
89.64,145.496
91.89,148.646
45.89,84.246
99.9,159.86
39.27,74.978
63.61,109.054
60.86,105.204
3.11,24.354
61.64,106.296
28.18,59.452
5.2,27.28
51.76,92.464
57.63,100.682
78.84,130.376
10.54,34.756
52.51,93.514
4.69,26.566
93.93,151.502
69.7,117.58
57.13,99.982
23.45,52.83
44.59,82.426
31.91,64.674
44.44,82.216
9.46,33.244
92.57,149.598
36.29,70.806
32.06,64.884
86.16,140.624
49.86,89.804
96.14,154.596
16.05,42.47
52.13,92.982
51.27,91.778
67.94,115.116
86.77,141.478
74.2,123.88
39.13,74.782
66,112.4
22.48,51.472
54.9,96.86
51.71,92.394
36.07,70.498
5.38,27.532
84.49,138.286
28.93,60.502
89.92,145.888
1.83,22.562
26.71,57.394
49.96,89.944
13.56,38.984
26.93,57.702
85.19,139.266
74.31,124.034
44.9,82.86
81.6,134.24
86.68,141.352
8.77,32.278
75.18,125.252
8.86,32.404
66.61,113.254
5.8,28.12
84.73,138.622
35.34,69.476
97.62,156.668
15.22,41.308
77.52,128.528
2.96,24.144
60.66,104.924
66.5,113.1
72.85,121.99
65.9,112.26
43.44,80.816
11.06,35.484
14.77,40.678
77.52,128.528
47.99,87.186
63.43,108.802
50.26,90.364
95.43,153.602
24.53,54.342
12.87,38.018
63.79,109.306
56.58,99.212
59.1,102.74
99.99,159.986
34.56,68.384
98.83,158.362
7.73,30.822
34.44,68.216
96.37,154.918
50.19,90.266
84.66,138.524
79.01,130.614
99.12,158.768
61.97,106.758
81.93,134.702
36.18,70.652
3.47,24.858
0.07,20.098
82.02,134.828
37.02,71.828
26.83,57.562
87.9,143.06
22.65,51.71
8.8,32.32
53.12,94.368
64.69,110.566
55.56,97.784
98.42,157.788
4.99,26.986
63.23,108.522
56.44,99.016
8.58,32.012
79.38,131.132
55.64,97.896
84.76,138.664
29.21,60.894
18.11,45.354
33.15,66.41
11.3,35.82
83.67,137.138
23.43,52.802
29.59,61.426
19.9,47.86
26.05,56.47
61.05,105.47
6.27,28.778
96.95,155.73
82.78,135.892
73.84,123.376
60.44,104.616
12.67,37.738
2.2,23.08
6.16,28.624
35.28,69.392
83.01,136.214
64.33,110.062
91.72,148.408
72.62,121.668
55.31,97.434
83.52,136.928
1.45,22.03
84.96,138.944
6.85,29.59
89.95,145.93
57.41,100.374
6.13,28.582
78.33,129.662
65.15,111.21
19.1,46.74
17.43,44.402
60.92,105.288
69.37,117.118
7.71,30.794
38.81,74.334
18.31,45.634
41.05,77.47
29.84,61.776
27.65,58.71
11.74,36.436
72.14,120.996
59.92,103.888
20.59,48.826
73.54,122.956
25.04,55.056
21.44,50.016
8.3,31.62
38.27,73.578
76.73,127.422
13.41,38.774
9.77,33.678
31.79,64.506
11.63,36.282
81.1,133.54
32.88,66.032
83.66,137.124
42.84,79.976
92.23,149.122
56.62,99.268
21.57,50.198
28.42,59.788
78.49,129.886
34.76,68.664
95.65,153.91
48.99,88.586
22.97,52.158
96.82,155.548
55.42,97.588
59.22,102.908
41.66,78.324
77.91,129.074
12.14,36.996
91.24,147.736
46.22,84.708
98.54,157.956
46.98,85.772
60.09,104.126
67.83,114.962
41.09,77.526
70.1,118.14
36.99,71.786
10.72,35.008
50.06,90.084
18.39,45.746
26.53,57.142
76.65,127.31
0.02,20.028
37.56,72.584
91.48,148.072
0.31,20.434
93.2,150.48
6.94,29.716
85.38,139.532
90.74,147.036
83.8,137.32
39.34,75.076
95.49,153.686
77.55,128.57
33.05,66.27
4.28,25.992
95.89,154.246
36.18,70.652
94.88,152.832
5.18,27.252
24.04,53.656
50.93,91.302
11.82,36.548
4.55,26.37
71.87,120.618
1.64,22.296
86.64,141.296
76.78,127.492
17.94,45.116
41.81,78.534
89.21,144.894
75.89,126.246
90.73,147.022
45.39,83.546
61.07,105.498
7.53,30.542
26.32,56.848
89.44,145.216
79.85,131.79
55.91,98.274
89.47,145.258
88.09,143.326
87.63,142.682
24.43,54.202
49.28,88.992
86.49,141.086
93.79,151.306
93.25,150.55
59.55,103.37
9.24,32.936
73.82,123.348
76.07,126.498
77.44,128.416
87.01,141.814
72.52,121.528
21.77,50.478
47.74,86.836
17.34,44.276
39.75,75.65
84.78,138.692
62.57,107.598
70.2,118.28
7.08,29.912
60.33,104.462
29.9,61.86
41.82,78.548
38.27,73.578
9.6,33.44
84.69,138.566
97.64,156.696
73.96,123.544
11.68,36.352
31.64,64.296
44.12,81.768
29.91,61.874
62.85,107.99
65.55,111.77
78.66,130.124
71.06,119.484
71.17,119.638
12.49,37.486
62.47,107.458
5.52,27.728
19.39,47.146
90.73,147.022
46.94,85.716
35.3,69.42
25.31,55.434
29.29,61.006
79.68,131.552
65.64,111.896
81.97,134.758
58.68,102.152
37.35,72.29
81.31,133.834
10.82,35.148
72.19,121.066
96.81,155.534
37.82,72.948
26.02,56.428
49.68,89.552
63.61,109.054
78.45,129.83
28.06,59.284
29.49,61.286
38.73,74.222
66.67,113.338
4.14,25.796
75.01,125.014
12.38,37.332
64.06,109.684
77.44,128.416
30.67,62.938
30.38,62.532
98.17,157.438
72.62,121.668
18.8,46.32
56.99,99.786
80.45,132.63
43.87,81.418
10.95,35.33
8.13,31.382
96.47,155.058
57.99,101.186
29.81,61.734
7.69,30.766
60.75,105.05
61.26,105.764
29.91,61.874
72.81,121.934
97.22,156.108
16.1,42.54
45.22,83.308
59.9,103.86
50.86,91.204
40.09,76.126
38.69,74.166
38.22,73.508
82.85,135.99
44.59,82.426
6.39,28.946
53.02,94.228
67.1,113.94
87.17,142.038
61.46,106.044
79.66,131.524
40.28,76.392
81.76,134.464
10.26,34.364
14.58,40.412
85.3,139.42
64.06,109.684
5.55,27.77
96.97,155.758
92.22,149.108
42.45,79.43
30.79,63.106
4.25,25.95
47.15,86.01
35.87,70.218
81.62,134.268
42.46,79.444
66.69,113.366
33.21,66.494
23.42,52.788
99.3,159.02
19.15,46.81
17.74,44.836
87.9,143.06
47.01,85.814
78.63,130.082
92.38,149.332
72.75,121.85
79.92,131.888
21.94,50.716
55.51,97.714
27.08,57.912
12.83,37.962
48.22,87.508
35.64,69.896
59.9,103.86
50.05,90.07
0.23,20.322
66.03,112.442
42.67,79.738
37.78,72.892
3.06,24.284
53.8,95.32
9.78,33.692
94.94,152.916
31.69,64.366
70.5,118.7
5.52,27.728
0.93,21.302
68.12,115.368
6.86,29.604
4.6,26.44
72.98,122.172
58.59,102.026
40.21,76.294
12.51,37.514
31.12,63.568
75.68,125.952
74.02,123.628
5.61,27.854
82.39,135.346
28.07,59.298
71.22,119.708
44.22,81.908
72.03,120.842
45.88,84.232
76.37,126.918
29.19,60.866
63.46,108.844
49.44,89.216
81.71,134.394
83.34,136.676
38.88,74.432
86.01,140.414
51.32,91.848
86.82,141.548
70.02,118.028
26.43,57.002
34.48,68.272
30.41,62.574
24.77,54.678
8.14,31.396
18.88,46.432
26.9,57.66
94.43,152.202
24.45,54.23
56.07,98.498
66.96,113.744
93.78,151.292
75.18,125.252
18.22,45.508
97.7,156.78
34.25,67.95
12.16,37.024
88.48,143.872
81.58,134.212
81.96,134.744
50.13,90.182
44.2,81.88
52.84,93.976
17.3,44.22
53.6,95.04
32.01,64.814
72.56,121.584
19.15,46.81
78.26,129.564
9.84,33.776
2.48,23.472
50.84,91.176
90.65,146.91
35.58,69.812
72.54,121.556
54.39,96.146
44.15,81.81
74.88,124.832
86.66,141.324
17.79,44.906
54.84,96.776
99.1,158.74
93.02,150.228
23.52,52.928
19.56,47.384
24.03,53.642
11.73,36.422
3.82,25.348
61.92,106.688
77.02,127.828
91.29,147.806
98.09,157.326
0.49,20.686
75.44,125.616
4.32,26.048
79.99,131.986
13.43,38.802
44.44,82.216
25.03,55.042
71.95,120.73
78.51,129.914
3.43,24.802
55.28,97.392
88.77,144.278
15.43,41.602
99.09,158.726
79.77,131.678
52.73,93.822
52.4,93.36
37.24,72.136
31.9,64.66
68.13,115.382
70.63,118.882
55.84,98.176
39.95,75.93
6.84,29.576
66.47,113.058
20.53,48.742
82.22,135.108
23.74,53.236
77.83,128.962
11.29,35.806
49.15,88.81
52.54,93.556
93.36,150.704
51.35,91.89
28.56,59.984
78.27,129.578
0.25,20.35
59.93,103.902
8.58,32.012
74.24,123.936
51.22,91.708
24.91,54.874
87.07,141.898
52.25,93.15
91.43,148.002
8.1,31.34
94.97,152.958
88.81,144.334
88.45,143.83
21.6,50.24
70.62,118.868
99.65,159.51
73.32,122.648
13.18,38.452
37.26,72.164
79.15,130.81
20.05,48.07
33.64,67.096
21.84,50.576
49.12,88.768
52.57,93.598
42.43,79.402
22.54,51.556
82.51,135.514
77.64,128.696
32.25,65.15
10.77,35.078
71.34,119.876
60.85,105.19
22.68,51.752
30.62,62.868
81.9,134.66
10.22,34.308
26.58,57.212
43.66,81.124
90.69,146.966
12.64,37.696
85.9,140.26
18.03,45.242
84.49,138.286
87.51,142.514
92.5,149.5
51.99,92.786
45.16,83.224
71.4,119.96
58.36,101.704
76.06,126.484
42.17,79.038
2.57,23.598
11.44,36.016
71.09,119.526
88.92,144.488
92.79,149.906
90.72,147.008
66.11,112.554
2.33,23.262
76.26,126.764
76.52,127.128
70.31,118.434
52.77,93.878
99.59,159.426
8.16,31.424
99.29,159.006
25,55
13.45,38.83
17.35,44.29
4.16,25.824
86.57,141.198
88.57,143.998
67.96,115.144
72.36,121.304
10.95,35.33
78.45,129.83
71.69,120.366
82.78,135.892
80.14,132.196
60.33,104.462
9.44,33.216
68.21,115.494
30.78,63.092
38.74,74.236
19.52,47.328
49.03,88.642
76.01,126.414
71.08,119.512
49.97,89.958
75.15,125.21
5.2,27.28
97.13,155.982
87.18,142.052
42.7,79.78
62.98,108.172
96.09,154.526
90.77,147.078
71.68,120.352
15.67,41.938
95.37,153.518
40.64,76.896
22.64,51.696
30.22,62.308
18.96,46.544
56.47,99.058
36.53,71.142
13.11,38.354
32.04,64.856
72.49,121.486
54.33,96.062
13.54,38.956
14.77,40.678
24.09,53.726
32.43,65.402
3.82,25.348
81.1,133.54
45.39,83.546
57.29,100.206
76.1,126.54
7.74,30.836
48.95,88.53
40.07,76.098
81.91,134.674
64.47,110.258
70.83,119.162
7.05,29.87
36.46,71.044
32.53,65.542
32.88,66.032
6.62,29.268
28.87,60.418
37.36,72.304
72.25,121.15
81.47,134.058
4.2,25.88
98.64,158.096
46.61,85.254
45.38,83.532
95.41,153.574
66.63,113.282
98.96,158.544
77.6,128.64
39.53,75.342
73.29,122.606
87.99,143.186
34.35,68.09
33.3,66.62
29.29,61.006
89.99,145.986
3.9,25.46
2.74,23.836
74.07,123.698
59.6,103.44
83.19,136.466
33.14,66.396
71.18,119.652
59.1,102.74
14.88,40.832
46.36,84.904
97.68,156.752
47.91,87.074
94.43,152.202
25.13,55.182
30.66,62.924
47.36,86.304
20.03,48.042
38.53,73.942
53.29,94.606
77.72,128.808
23.42,52.788
96.85,155.59
8.49,31.886
71.67,120.338
84.22,137.908
35.25,69.35
74,123.6
32.42,65.388
88.91,144.474
88.11,143.354
60.49,104.686
63.94,109.516
95.21,153.294
2.14,22.996
2.33,23.262
24.38,54.132
87.11,141.954
37.16,72.024
81.57,134.198
49.26,88.964
54.72,96.608
65.82,112.148
10.93,35.302
71.92,120.688
12.67,37.738
67.35,114.29
86.25,140.75
97.89,157.046
40.63,76.882
73.87,123.418
